SIGN_ID,IMAGE_NO,latitude,longitude,LOCATION,LANGUAGE,COMMUNICATIVE_ROLE,MATERIALITY,CONTEXT_FRAME,YELP,NOTES,CLOSED
SIGN_1,IMG_0061,37.761336,-122.425838,18th,English,Establishment_Description,Permanent,Cafe,2,,FALSE
SIGN_2,IMG_0061,37.761336,-122.425838,18th,English,Information,Hand_Written,Menu,2,,FALSE
SIGN_3,IMG_0062,37.761377,-122.427305,18th,English,Street_Signs,Permanent,External,0,,FALSE
SIGN_4,IMG_0063,37.761336,-122.425838,18th,English,Establishment_Description,Permanent,Cafe,2,,FALSE
SIGN_5,IMG_0063,37.761336,-122.425838,18th,English,Street_Signs,Permanent,External,2,,FALSE
SIGN_6,IMG_0063,37.761336,-122.425838,18th,English,Establishment_Description,Permanent,Cafe,2,,FALSE
SIGN_7,IMG_0064,37.761607,-122.425741,18th,English,Information,Permanent,Specialty_Foods ,1,Bi-Rite,FALSE
SIGN_8,IMG_0064,37.761607,-122.425741,18th,English,Information,Permanent,Specialty_Foods ,1,,FALSE
SIGN_9,IMG_0064,37.761607,-122.425741,18th,English,Instructions,Permanent,Specialty_Foods ,1,If you are picking up pre-packaged pints and cakes please go directly to the cashier,FALSE
SIGN_10,IMG_0064,37.761607,-122.425741,18th,English,Information,Permanent,External,1,Shhh- please be respectful of our neighbords,FALSE
SIGN_11,IMG_0065,37.761682,-122.425573,18th,English,Establishment_Description,Permanent,Specialty_Foods ,1,,FALSE
SIGN_12,IMG_0065,37.761682,-122.425573,18th,English,Information,Permanent,External,1,,FALSE
SIGN_13,IMG_0066,37.761336,-122.425706,18th,English,Establishment_Description,Permanent,Beauty_Hair_Salon,0,,FALSE
SIGN_14,IMG_0067,37.761336,-122.425706,18th,English,Information,Permanent,Beauty_Hair_Salon,0,,FALSE
SIGN_15,IMG_0068,37.761607,-122.425741,18th,English,Information,Professionally_Printed,External,0,No Parking Here,FALSE
SIGN_16,IMG_0069,37.761676,-122.42549,18th,English,Establishment_Name,Professionally_Printed,Institution,0,18 Reasons,FALSE
SIGN_17,IMG_0069,37.761676,-122.42549,18th,English,Establishment_Description,Professionally_Printed,Institution,0,A Community Food Space to Learn Think Do,FALSE
SIGN_18,IMG_0075,37.761364,-122.425165,18th,English,Information,Hand_Written,External,0,Was unsure of address in IMG_0075 and IMG0076,FALSE
SIGN_19,IMG_0076,37.761405,-122.4249,18th,English,Information,Home_Printed,External,0,,FALSE
SIGN_20,IMG_0077,37.76135,-122.424708,18th,English,Slogan,Professionally_Printed,Shop,2,,FALSE
SIGN_21,IMG_0077,37.76135,-122.424708,18th,English,Information,Professionally_Printed,Shop,2,,FALSE
