"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Local organizations seek resources to stabilize Latino, immigrant families (2868 MISSION ST) #SanFrancisco https://t.co/ynxiEbR7qm",FALSE,0,NA,2017-05-09 16:45:29,FALSE,NA,"861985485383749636",NA,"<a href=""http://www.blockast.com"" rel=""nofollow"">blockast</a>","blockast",0,FALSE,FALSE,"-122.418433","37.751123"
"2","One more day in SF this trip. Will be back soon &amp; maybe even stay a while

I'll be at the Silicon Valley Bitcoin me<e2><80><a6> https://t.co/jHEouZ2Mpe",FALSE,1,NA,2017-05-09 16:44:34,TRUE,NA,"861985253702852608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guruvan",0,FALSE,FALSE,NA,NA
"3","An anchor to stop the unrelenting march of time, a diamond to remind you that time exists. The<e2><80><a6> https://t.co/hdX1nFnC6r",FALSE,0,NA,2017-05-09 16:38:38,FALSE,NA,"861983761625366528",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fiatluxsf",0,FALSE,FALSE,"-122.42331505","37.76482883"
"4","Mom browsing the tea on our trip to Granada, Spain  FLAGOFSPAIN <e2><9d><a4>
.
.
.
.
.
.
.
.
.
.
. @ Mission District,<e2><80><a6> https://t.co/hgnMc26imc",FALSE,0,NA,2017-05-09 16:34:58,FALSE,NA,"861982841017556992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Slfdeclrdfoodie",0,FALSE,FALSE,"-122.42","37.76"
"5","@jbgaul Yes. Yes you did. Smh",FALSE,0,"jbgaul",2017-05-09 16:30:36,FALSE,"861959891241623553","861981742478970880","18967630","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","jdrama418",0,FALSE,FALSE,NA,NA
"6","This mission San Francisco coffee shop art sums up everything about the city zeitgeist in two frames. #SF #BayArea https://t.co/X1Yf5gVD7j",FALSE,0,NA,2017-05-09 16:28:42,FALSE,NA,"861981261220294656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jonn_G",0,FALSE,FALSE,NA,NA
"7","Lots more like this, please! https://t.co/njUdmTIBsP #ai #diversity #tech",FALSE,1,NA,2017-05-09 16:11:36,FALSE,NA,"861976959462522880",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","dhmspector",1,FALSE,FALSE,NA,NA
"8","Awesome #paintings from my #figuremodeling session last night. I love #modeling for these 2!  ARTISTPALETTE <e2><80><a6> https://t.co/5hgQ8AAdPM",FALSE,0,NA,2017-05-09 16:10:03,FALSE,NA,"861976567748145153",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AgentPeachK",0,FALSE,FALSE,"-122.42","37.76"
"9","Hi @kryptonitelock I<e2><80><99>m having trouble finding this information. Does your company still offer this option? https://t.co/mzUB2xEsC6",FALSE,0,"shempstielhope",2017-05-09 15:58:31,FALSE,"860201607169884160","861973668661870592","21954048","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","shempstielhope",0,FALSE,FALSE,NA,NA
"10","Fresh HOTBEVERAGE 

.
.
.
.
#coffee #pourover #coffeetime #sustainable #market #ethical #coffebreak<e2><80><a6> https://t.co/GDGXHDgqN1",FALSE,0,NA,2017-05-09 15:56:30,FALSE,NA,"861973158987001856",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SFCoffeeCruiser",0,FALSE,FALSE,"-122.42","37.7648"
