"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3","An anchor to stop the unrelenting march of time, a diamond to remind you that time exists. The<e2><80><a6> https://t.co/hdX1nFnC6r",FALSE,0,NA,2017-05-09 16:38:38,FALSE,NA,"861983761625366528",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fiatluxsf",0,FALSE,FALSE,"-122.42331505","37.76482883"
"4","Mom browsing the tea on our trip to Granada, Spain  FLAGOFSPAIN <e2><9d><a4>
.
.
.
.
.
.
.
.
.
.
. @ Mission District,<e2><80><a6> https://t.co/hgnMc26imc",FALSE,0,NA,2017-05-09 16:34:58,FALSE,NA,"861982841017556992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Slfdeclrdfoodie",0,FALSE,FALSE,"-122.42","37.76"
"8","Awesome #paintings from my #figuremodeling session last night. I love #modeling for these 2!  ARTISTPALETTE <e2><80><a6> https://t.co/5hgQ8AAdPM",FALSE,0,NA,2017-05-09 16:10:03,FALSE,NA,"861976567748145153",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AgentPeachK",0,FALSE,FALSE,"-122.42","37.76"
"10","Fresh HOTBEVERAGE 

.
.
.
.
#coffee #pourover #coffeetime #sustainable #market #ethical #coffebreak<e2><80><a6> https://t.co/GDGXHDgqN1",FALSE,0,NA,2017-05-09 15:56:30,FALSE,NA,"861973158987001856",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SFCoffeeCruiser",0,FALSE,FALSE,"-122.42","37.7648"
"13","Rise and shine SPARKLES 

.
.
.
#coffee #pourover #coffeetime #sustainable #market #ethical<e2><80><a6> https://t.co/AGJcMG5GUA",FALSE,0,NA,2017-05-09 15:47:37,FALSE,NA,"861970925629132805",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SFCoffeeCruiser",0,FALSE,FALSE,"-122.42","37.7648"
"14","idk how to pose ok #imartsy #andawkward @ Clarion Alley https://t.co/FoHmYvp79z",FALSE,0,NA,2017-05-09 15:46:30,FALSE,NA,"861970643176349698",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bananika",0,FALSE,FALSE,"-122.42089507","37.76299557"
"15","Don't forget the White Garlic Sauce! eat24  EYES  #hijackedpost #deliveryservice #pizzaforlunch<e2><80><a6> https://t.co/TakG03gvXk",FALSE,0,NA,2017-05-09 15:46:18,FALSE,NA,"861970593389969408",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MozzeriaSF",0,FALSE,FALSE,"-122.42488","37.76489"
"17","Commute with us in carbon un FOOTPRINTS printing. Love our  EARTHGLOBEAMERICAS  BLACKUNIVERSALRECYCLINGSYMBOL 

.
.
.
#coffee #pourover #coffeetime<e2><80><a6> https://t.co/1BsuJoLvbn",FALSE,0,NA,2017-05-09 15:08:21,FALSE,NA,"861961043236487169",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SFCoffeeCruiser",0,FALSE,FALSE,"-122.42","37.7648"
"20","Halibut, peas, Miso dashi, shimeji, preserved yuzu #delicious our favourite dish of the evening<e2><80><a6> https://t.co/0GHTfso1KE",FALSE,1,NA,2017-05-09 14:39:53,FALSE,NA,"861953879793180672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BritishLarder",0,FALSE,FALSE,"-122.422943","37.754948"
"21","Heirloom carrot, pistachio, yogurt,golden raisin and urfa @aster_sf #inspirational #delicious<e2><80><a6> https://t.co/ivs1IMY5x8",FALSE,1,NA,2017-05-09 14:35:43,FALSE,NA,"861952828893532160",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BritishLarder",0,FALSE,FALSE,"-122.422943","37.754948"
