"","document","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"12165",12165,"Gold in peace, iron in war, our city's old motto, frames a phoenix rising, an ode to SF from our<e2><80><a6> https://t.co/bCCaooLm96",FALSE,0,NA,"12/14/16 22:13",FALSE,NA,8.09e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fiatluxsf",0,FALSE,FALSE,-122.4233151,37.76482883
"16067",16067,"Thanks for nothing assholes. @ Mission District, San Francisco https://t.co/V7ijlwSF2x",FALSE,0,NA,"2/5/17 19:16",FALSE,NA,8.28e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dboy5446",0,FALSE,FALSE,-122.42,37.76
"15396",15396,"According to the crazy lady in apt 1 - our building is 100 years old this month!  #sf #sfliving<e2><80><a6> https://t.co/Dpietq7Cuu",FALSE,0,NA,"1/28/17 20:50",FALSE,NA,8.25e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","salmansq",0,FALSE,FALSE,-122.42,37.76
"11323",11323,"Finally found some good #papusas in #SF. #delicious #artisinal #traditional #elsalvador FLAGOFELSALVADOR  @<e2><80><a6> https://t.co/0B19YRIXnt",FALSE,0,NA,"12/5/16 5:33",FALSE,NA,8.06e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mpranikoff",0,FALSE,FALSE,-122.4216,37.76471
"4021",4021,"Day 1 of #WheelIntoStrength with julia_gulia3 stefaneekai &amp; alohakaiyogawheel is #gomukhasana<e2><80><a6> https://t.co/Fv385U5zDN",FALSE,0,NA,"9/18/16 1:47",FALSE,NA,7.77e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","faern_me",0,FALSE,FALSE,-122.4199677,37.7538795
"9070",9070,"Just posted a video @ Mission Police Station https://t.co/etxiCVSvJF",FALSE,1,NA,"11/9/16 0:22",FALSE,NA,7.96e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hpmendoza",0,FALSE,FALSE,-122.422,37.76284
"3311",3311,"Starting the day with coffee and carbs. Tasty, tasty carbs...  HOTBEVERAGE  BREAD   COLTWO OKHANDSIGN 

#coffee #carbs #tasty<e2><80><a6> https://t.co/KC0h0c0oeI",FALSE,0,NA,"9/9/16 9:45",FALSE,NA,7.74e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Musingmutley",0,FALSE,FALSE,-122.4118648,37.7618469
"17001",17001,"Spoons! @ Bernal Cutlery https://t.co/4YZyf46gni",FALSE,0,NA,"2/15/17 19:38",FALSE,NA,8.32e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Bernalcutlery",0,FALSE,FALSE,-122.42361,37.76176
"9624",9624,"Side walk art. @ Mission District, San Francisco https://t.co/CzU99Icds4",FALSE,0,NA,"11/14/16 6:33",FALSE,NA,7.98e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AnnitaDarling",0,FALSE,FALSE,-122.42,37.76
"108",108,"I ventured down an alley different to the ones recommend by guidebooks... #art #streetart<e2><80><a6> https://t.co/R2uROIyR9e",FALSE,0,NA,"8/3/16 16:08",FALSE,NA,7.61e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ARumblyTummy",0,FALSE,FALSE,-122.42,37.76
"8320",8320,"Thanks to @dshippjr @therealbigherm @kr_peris for coming. We honor our commitments minus<e2><80><a6> https://t.co/3U1v33PlVJ",FALSE,1,NA,"11/1/16 20:32",FALSE,NA,7.94e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SirPoppington",0,FALSE,FALSE,-122.4211653,37.75585034
"15230",15230,"#Fuego, the little firecracker, and I seem to have bonded. #MuttvilleSF #AdoptVintageLove @<e2><80><a6> https://t.co/7NKzQK5iNT",FALSE,0,NA,"1/27/17 2:31",FALSE,NA,8.25e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hermesalchemist",0,FALSE,FALSE,-122.41197,37.76582
"8704",8704,"~afterhourz~ 
Tonight Saturday 11/5/16 1-6am 
at mission district sf spot
1-6am *ladies free<e2><80><a6> https://t.co/vx4XjyEuJz",FALSE,0,NA,"11/5/16 18:48",FALSE,NA,7.95e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Jayvi_Velasco",0,FALSE,FALSE,-122.42,37.76
"15370",15370,"cuties  PALMTREE  SMILINGFACEWITHHEARTSHAPEDEYES  #sanfrancisco #mission @ Mission District, San Francisco https://t.co/tuupxTpdz7",FALSE,0,NA,"1/28/17 9:19",FALSE,NA,8.25e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","warrenbru",0,FALSE,FALSE,-122.42,37.76
"2638",2638,"Soaking up inspiration from this spot. #sanfrancisco #DoloresPark #Inspiration @ Dolores Park, SF https://t.co/aRibUcpSVl",FALSE,0,NA,"8/31/16 20:32",FALSE,NA,7.71e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AccidentalBear",0,FALSE,FALSE,-122.4270334,37.75950181
"13863",13863,"#SanFrancisco in the #rain. It's mysterious and wonderful and also<e2><80><a6> https://t.co/2t6m4J8i35",FALSE,0,NA,"1/8/17 20:33",FALSE,NA,8.18e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ProgressingSF",0,FALSE,FALSE,-122.42,37.76
"9701",9701,"#SoFreshAndSoClean
#ImTooSexy
#DadBod @ Love Shack https://t.co/zMGUs0IXju",FALSE,0,NA,"11/15/16 6:14",FALSE,NA,7.98e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Chueco_05",0,FALSE,FALSE,-122.4247,37.76813
"4229",4229,"Just posted a video @ Foodsco https://t.co/g4JHz8IFiI",FALSE,1,NA,"9/20/16 5:39",FALSE,NA,7.78e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lelandwong",0,FALSE,FALSE,-122.4160917,37.76796489
"16359",16359,"Can I get a work from snow day?  UMBRELLAWITHRAINDROPS  #driversbecrazy #landslides #flashfloods<e2><80><a6> https://t.co/UHCEYswEQX",FALSE,0,NA,"2/9/17 17:26",FALSE,NA,8.3e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CoColgan",0,FALSE,FALSE,-122.42,37.76
"232",232,"This is David Boyd an #anthropologist &amp; my Mom's #partner #sanfrancisco #pointandshoot #contax @<e2><80><a6> https://t.co/QDC7nRGjEn",FALSE,0,NA,"8/4/16 19:42",FALSE,NA,7.61e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","vasiligavre",0,FALSE,FALSE,-122.42,37.76
"15761",15761,"A heart felt message to the BLACK MAN on the first day of BLACK HISTORY MONTH. #knowyourworth<e2><80><a6> https://t.co/IK8P6UAgDS",FALSE,0,NA,"2/2/17 0:06",FALSE,NA,8.27e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","comicstevebrown",0,FALSE,FALSE,-122.41498,37.7520499
